SALARY,EDUCAT,EXPER,MONTHS,MALES
3900.00,12.00,0.00,1.00,0.00
4020.00,10.00,44.00,7.00,0.00
4290.00,12.00,5.00,30.00,0.00
4380.00,8.00,6.20,7.00,0.00
4380.00,8.00,7.50,6.00,0.00
4380.00,12.00,0.00,7.00,0.00
4380.00,12.00,0.00,10.00,0.00
4380.00,12.00,4.50,6.00,0.00
4440.00,15.00,75.00,2.00,0.00
4500.00,8.00,52.00,3.00,0.00
4500.00,12.00,8.00,19.00,0.00
4620.00,12.00,52.00,3.00,0.00
4800.00,8.00,70.00,20.00,0.00
4800.00,12.00,6.00,23.00,0.00
4800.00,12.00,11.00,12.00,0.00
4800.00,12.00,11.00,17.00,0.00
4800.00,12.00,63.00,22.00,0.00
4800.00,12.00,144.00,24.00,0.00
4800.00,12.00,163.00,12.00,0.00
4800.00,12.00,228.00,26.00,0.00
4800.00,12.00,381.00,1.00,0.00
4800.00,16.00,214.00,15.00,0.00
4980.00,8.00,318.00,25.00,0.00
5100.00,8.00,96.00,33.00,0.00
5100.00,12.00,36.00,15.00,0.00
5100.00,12.00,59.00,14.00,0.00
5100.00,15.00,115.00,1.00,0.00
5100.00,15.00,165.00,4.00,0.00
5100.00,16.00,123.00,12.00,0.00
5160.00,12.00,18.00,12.00,0.00
5220.00,8.00,102.00,29.00,0.00
5220.00,12.00,127.00,29.00,0.00
5280.00,8.00,90.00,11.00,0.00
5280.00,8.00,190.00,1.00,0.00
5280.00,12.00,107.00,11.00,0.00
5400.00,8.00,173.00,34.00,0.00
5400.00,8.00,228.00,33.00,0.00
5400.00,12.00,26.00,11.00,0.00
5400.00,12.00,36.00,33.00,0.00
5400.00,12.00,38.00,22.00,0.00
5400.00,12.00,82.00,29.00,0.00
5400.00,12.00,169.00,27.00,0.00
5400.00,12.00,244.00,1.00,0.00
5400.00,15.00,24.00,13.00,0.00
5400.00,15.00,49.00,27.00,0.00
5400.00,15.00,51.00,21.00,0.00
5400.00,15.00,122.00,33.00,0.00
5520.00,12.00,97.00,17.00,0.00
5520.00,12.00,196.00,32.00,0.00
5580.00,12.00,132.50,30.00,0.00
5640.00,12.00,55.00,9.00,0.00
5700.00,12.00,90.00,23.00,0.00
5700.00,12.00,116.50,25.00,0.00
5700.00,15.00,51.00,17.00,0.00
5700.00,15.00,61.00,11.00,0.00
5700.00,15.00,241.00,34.00,0.00
6000.00,12.00,121.00,30.00,0.00
6000.00,15.00,78.50,13.00,0.00
6120.00,12.00,208.50,21.00,0.00
6300.00,12.00,86.50,33.00,0.00
6300.00,15.00,231.00,15.00,0.00
4620.00,12.00,11.50,22.00,1.00
5040.00,15.00,14.00,3.00,1.00
5100.00,12.00,180.00,15.00,1.00
5100.00,12.00,315.00,2.00,1.00
5220.00,12.00,29.00,14.00,1.00
5400.00,12.00,7.00,21.00,1.00
5400.00,12.00,38.00,11.00,1.00
5400.00,12.00,113.00,3.00,1.00
5400.00,15.00,17.50,8.00,1.00
5400.00,15.00,359.00,11.00,1.00
5700.00,15.00,36.00,5.00,1.00
6000.00,8.00,320.00,21.00,1.00
6000.00,12.00,24.00,2.00,1.00
6000.00,12.00,32.00,17.00,1.00
6000.00,12.00,49.00,8.00,1.00
6000.00,12.00,56.00,33.00,1.00
6000.00,12.00,252.00,11.00,1.00
6000.00,12.00,272.00,19.00,1.00
6000.00,15.00,25.00,13.00,1.00
6000.00,15.00,35.50,32.00,1.00
6000.00,15.00,56.00,12.00,1.00
6000.00,15.00,64.00,33.00,1.00
6000.00,15.00,108.00,16.00,1.00
6000.00,16.00,45.50,3.00,1.00
6300.00,15.00,72.00,17.00,1.00
6600.00,15.00,64.00,16.00,1.00
6600.00,15.00,84.00,33.00,1.00
6600.00,15.00,215.50,16.00,1.00
6840.00,15.00,41.50,7.00,1.00
6900.00,12.00,175.00,10.00,1.00
6900.00,15.00,132.00,24.00,1.00
8100.00,16.00,54.50,33.00,1.00
