Alkalinity,pH,Calcium,Chlorophyll,Avg_Mercury
1.774952351,6.1,1.098612289,-0.356674944,1.23
1.252762969,5.1,0.641853886,1.16315081,1.33
4.753590191,9.1,3.786459783,4.854371272,0.04
3.673765816,6.9,2.797281335,1.252762969,0.44
0.916290732,4.6,1.064710737,0.587786665,1.2
2.975529566,7.3,1.504077397,3.786459783,0.27
1.648658626,5.4,1.029619417,1.223775432,0.48
4.268297869,8.1,4.010962953,3.517497837,0.19
3.27336401,5.8,2.219203484,0.470003629,0.83
1.568615918,6.4,1.526056304,3.113515309,0.81
1.887069649,5.4,0.993251773,2.701361213,0.71
2.803360381,7.2,2.624668592,1.386294361,0.5
3.234749174,7.2,3.226843995,2.451005098,0.49
1.960094784,5.8,1.648658626,1.757857918,1.16
4.852030264,7.6,4.460144414,4.264087337,0.05
4.427238978,8.2,4.197201948,4.364371699,0.15
4.686750173,8.7,3.572345638,4.383275854,0.19
4.115779843,7.8,4.050044303,2.63188884,0.77
1.85629799,5.8,1.386294361,1.526056304,1.08
3.433987205,6.7,2.708050201,2.833213344,0.98
2.014903021,4.4,0.693147181,2.261763099,0.63
2.850706502,6.7,2.370243742,2.251291799,0.56
2.533696814,6.1,1.30833282,3.044522438,0.41
1.945910149,6.9,1.840549633,3.46885603,0.73
2.351375257,5.5,1.840549633,0.470003629,0.34
3.401197382,6.9,2.63188884,3.068052935,0.59
4.014579594,7.3,2.766319109,3.206803244,0.34
1.360976553,4.5,1.193922469,1.945910149,0.84
1.704748092,4.8,0.530628251,2.694627181,0.5
1.840549633,5.8,1.193922469,-0.356674944,0.34
4.204692619,7.8,4.070734697,3.779633817,0.28
3.360375387,7.4,2.32238772,3.487375078,0.34
1.757857918,3.6,0.470003629,1.16315081,0.87
1.504077397,4.4,0.09531018,1.16315081,0.56
4.779963476,7.9,3.64805746,2.778819272,0.17
3.234749174,7.1,2.174751722,3.811097087,0.18
4.668144985,6.8,4.507557357,2.803360381,0.19
3.970291914,8.4,3.819907717,5.026508643,0.04
2.140066164,7,0.916290732,2.549445171,0.49
4.472780998,7.5,4.448516376,3.000719815,1.1
4.736198448,7,4.284964922,1.85629799,0.16
4.579852378,6.8,3.817712326,1.824549292,0.1
2.468099532,5.9,3.186352633,0.470003629,0.48
4.197201948,8.3,3.258096538,4.222444565,0.21
2.772588722,6.7,3.718438256,3.182211841,0.86
1.609437912,6.2,3.161246712,2.261763099,0.52
3.242592352,6.2,2.533696814,3.321432413,0.65
4.40060302,8.9,3.020424886,2.261763099,0.27
0.182321557,4.3,0.741937345,1.85629799,0.94
3.526360525,7,2.57261223,1.526056304,0.4
2.740840024,6.9,1.648658626,2.803360381,0.43
2.850706502,5.2,1.098612289,0.955511445,0.25
4.273884476,7.9,3.020424886,2.174751722,0.27
